ACJV,Alabama,BASIN,BlueprintCategory,EPA,EducateAware,Florida,Georgia,HUC12,HU_12_NAME,ID,Justification,LandWaterManage,LandWaterProtect,LawPolicy,Livelihood,NBCI,NorthCarolina,PARCA,SUBBASIN,SUBREGION,Shape_Area,Shape_Length,SpeciesManage,TNC,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,Virginia,WorkshopName,pct_Beaches,pct_Estuaries,pct_Forested_Wetlands,pct_Freshwater_Marsh,pct_Maritime_Forest,pct_Pine,pct_Upland_Hardwoods
Priority, ,Aucilla-Waccasassa,Highest Priority, , ,Priority, ,031101010504,Barnett Creek-Black Point Swamp Frontal,I1,"Part of the Okefenokee/Osceola/Eglin AFB Complex and Big Bend coastline. This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Yes,Yes,Yes,Yes,Priority, ,Priority,Waccasassa,Suwannee,369090417.23,89241.973083, ,Priority,6320000.0,9560000.0,0.0,7320000.0,80000.0, ,Apalachicola Bay,0.0,47.3100013733,11.5500001907,1.77999997139,0.119999997318,2.6400001049,0.0
Priority, ,Aucilla-Waccasassa,High Priority, , ,Priority, ,031101010503,Wilder Creek-King Creek Frontal,I2,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.", , , ,Yes,Priority, , ,Waccasassa,Suwannee,218292771.43,86433.477552, ,Priority,280000.0,320000.0,0.0,0.0,0.0, ,Okefenokee/Osceola/Eglin AFB Complex,0.0,21.1800003052,37.7099990845,10.4799995422,0.0,29.7099990845,0.0
Priority, ,Suwannee,High Priority, , ,Priority, ,031102050804,Sand Fly Creek,I3,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.", , , ,Yes,Priority, ,Priority,Lower Suwannee,Suwannee,93162445.332,64277.5297996, ,Priority,17240000.0,8760000.0,0.0,10080000.0,0.0, ,Okefenokee/Osceola/Eglin AFB Complex,0.0,0.0,53.4900016785,2.01999998093,0.0,44.4900016785,0.0
Priority, ,Suwannee,Highest Priority, , ,Priority, ,031102050805,Suwannee River,I4,"Part of the Okefenokee/Osceola/Eglin AFB Complex and Big Bend coastline. This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Yes, ,Yes,Yes,Priority, ,Priority,Lower Suwannee,Suwannee,177661426.285,85663.4497706, ,Priority,29880000.0,19840000.0,0.0,53320000.0,4400000.0, ,Apalachicola Bay,0.0,43.6500015259,41.3800010681,3.99000000954,0.0,8.09000015259,0.0
Priority, ,Aucilla-Waccasassa,Highest Priority, , ,Priority, ,031101020903,Johnson Creek-Bumblebee Creek Frontal,I5,"Part of the Okefenokee/Osceola/Eglin AFB Complex and Big Bend coastline. This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Yes,Yes,Yes,Yes, , ,Priority,Econfina-Steinhatchee,Suwannee,197387135.297,83914.0182428, ,Priority,67760000.0,30520000.0,0.0,31920000.0,3040000.0, ,Apalachicola Bay,0.0,43.0099983215,44.3199996948,2.24000000954,0.0299999993294,9.21000003815,0.0
Priority, ,Suwannee,High Priority, , ,Priority, ,031102050803,Cedar Branch,I6,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Yes,Yes, ,Yes,Priority, ,Priority,Lower Suwannee,Suwannee,116571284.633,70040.818955,Yes,Priority,38880000.0,14720000.0,0.0,37360000.0,280000.0, ,Suwannee River Corridor,0.0,0.0,42.5099983215,8.5,0.0,49.0,0.0
Priority, ,Suwannee,High Priority, , ,Priority, ,031102050802,Long Pond,I7,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.", , , ,Yes,Priority, ,Priority,Lower Suwannee,Suwannee,119059252.105,84983.3487043, ,Priority,15280000.0,0.0,0.0,40000.0,360000.0, ,Okefenokee/Osceola/Eglin AFB Complex,0.0,0.0,1.39999997616,3.8900001049,0.0,94.6999969482,0.0
Priority, ,Suwannee,High Priority, , ,Priority, ,031102050704,Manatee Springs,I8,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Yes,Yes, ,Yes,Priority, ,Priority,Lower Suwannee,Suwannee,135234791.91,70507.7934147,Yes,Priority,55840000.0,41800000.0,40000.0,40000.0,120000.0, ,Suwannee River Corridor,0.0,0.0,9.69999980927,3.00999999046,0.0,87.2900009155,0.0
Priority, ,Aucilla-Waccasassa,Highest Priority, , ,Priority, ,031101020906,Butler Creek-Shired Creek Frontal,I9,"Part of the Okefenokee/Osceola/Eglin AFB Complex and Big Bend coastline. This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Yes,Yes,Yes,Yes, , , ,Econfina-Steinhatchee,Suwannee,191931355.145,70058.2835152, ,Priority,68720000.0,60080000.0,40000.0,38600000.0,520000.0, ,Apalachicola Bay,0.0,23.8899993896,53.7400016785,2.69000005722,0.019999999553,19.6599998474,0.0
Priority, ,Apalachicola,Highest Priority, ,Yes,Priority, ,031300110704,Depot Creek,I10,Important coastal habitat. A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.,Yes,Yes,Yes,Yes, , , ,Apalachicola,Apalachicola,514457000.078,106854.496701,Yes,Priority,95400000.0,55000000.0,0.0,13040000.0,16320000.0, ,Big Bend Area and Apalachicola Bay,2.74000000954,56.0699996948,31.6800003052,0.680000007153,0.119999997318,3.08999991417,0.0
Priority, ,Aucilla-Waccasassa,Highest Priority, , ,Priority, ,031101020905,Sink Creek-Whackup Creek Frontal,I11,"Part of the Okefenokee/Osceola/Eglin AFB Complex and Big Bend coastline. This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Yes,Yes,Yes,Yes, , , ,Econfina-Steinhatchee,Suwannee,373880498.598,98279.9830471, ,Priority,81520000.0,58680000.0,0.0,36800000.0,2800000.0, ,Apalachicola Bay,0.0,49.9199981689,33.5299987793,1.13999998569,0.0,6.69000005722,0.0
Priority, ,Suwannee,High Priority, , ,Priority, ,031102050703,Wacasassa Slough,I12,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.", , , ,Yes,Priority, ,Priority,Lower Suwannee,Suwannee,64982745.0586,62983.4616731, ,Priority,7840000.0,17720000.0,920000.0,0.0,0.0, ,Okefenokee/Osceola/Eglin AFB Complex,0.0,0.0,1.49000000954,0.109999999404,0.0,98.4000015259,0.0
